idx	measurement	value
19	init_breakpoints_time	0.0007385319913737476
19	start_program_time	0.0005229179951129481
19	total_time	1.086045420001028
20	compilation_time	0.011635304006631486
20	connect_time	0.20333002199186012
20	container_create_time	0.026502384003833868
20	container_start_time	0.9321251740038861
20	gdb_start_time	0.007469559001037851
20	init_breakpoints_time	0.0007198899984359741
20	start_program_time	0.0005235900025581941
20	total_time	1.1859803839906817
21	compilation_time	0.012546140002086759
21	connect_time	0.2032315969991032
21	container_create_time	0.025912616998539306
21	container_start_time	0.9326054220000515
21	gdb_start_time	0.0074495150038274005
21	init_breakpoints_time	0.0007282199949258938
21	start_program_time	0.0005188220093259588
21	total_time	1.1865896490053274
22	compilation_time	0.011706085002515465
22	connect_time	0.2034606710076332
22	container_create_time	0.026260275990352966
22	container_start_time	0.8323502090061083
22	gdb_start_time	0.007760430991766043
22	init_breakpoints_time	0.0007365869969362393
22	start_program_time	0.0005552160000661388
22	total_time	1.0866181790042901
23	compilation_time	0.011856122000608593
23	connect_time	0.203190194995841
23	container_create_time	0.02633026600233279
23	container_start_time	0.9318219729902921
23	gdb_start_time	0.007702698989305645
23	init_breakpoints_time	0.0007690189959248528
23	start_program_time	0.000509031000547111
23	total_time	1.1858264210022753
24	compilation_time	0.00785222499689553
24	connect_time	0.2033132890064735
24	container_create_time	0.02603075301158242
24	container_start_time	0.9358745990030002
24	gdb_start_time	0.008190406995709054
24	init_breakpoints_time	0.000728420985979028
24	start_program_time	0.0005208569928072393
24	total_time	1.186443375001545
25	compilation_time	0.0081102429976454
25	connect_time	0.20353171600436326
25	container_create_time	0.030388385988771915
25	container_start_time	0.9307313919998705
25	gdb_start_time	0.007981526010553353
25	init_breakpoints_time	0.0007647900056326762
25	start_program_time	0.0005198549915803596
25	total_time	1.185645335004665
26	compilation_time	0.008140316000208259
26	connect_time	0.20418629399500787
26	container_create_time	0.025345324000227265
26	container_start_time	0.9376699940039543
26	gdb_start_time	0.008075156991253607
26	init_breakpoints_time	0.0007955239998409525
26	start_program_time	0.0005825990083394572
26	total_time	1.1884721459937282
27	compilation_time	0.007905746999313124
27	connect_time	0.20341964400722645
27	container_create_time	0.026821147999726236
27	container_start_time	1.1394293290068163
27	gdb_start_time	0.0071478089957963675
27	init_breakpoints_time	0.0007667450117878616
27	start_program_time	0.0005360140057746321
27	total_time	1.390157879999606
28	compilation_time	0.0079583780025132
28	connect_time	0.2032749909994891
28	container_create_time	0.025802365998970345
28	container_start_time	1.0370379850064637
28	gdb_start_time	0.007529914000770077
28	init_breakpoints_time	0.0007417879969580099
28	start_program_time	0.0005884260026505217
28	total_time	1.2868643429974327
29	compilation_time	0.01192532799905166
29	connect_time	0.2031580189941451
29	container_create_time	0.025555965999956243
29	container_start_time	1.0375955649942625
29	gdb_start_time	0.007928375998744741
29	init_breakpoints_time	0.0007511140138376504
29	start_program_time	0.0005476869991980493
29	total_time	1.2913871860073414
30	compilation_time	0.012159887002781034
30	connect_time	0.2039389650017256
30	container_create_time	0.026120729991816916
30	container_start_time	0.9411449010076467
30	gdb_start_time	0.007850080990465358
30	init_breakpoints_time	0.0007486359972972423
30	start_program_time	0.0005810560105601326
30	total_time	1.1965225849999115
31	compilation_time	0.012359632994048297
31	connect_time	0.2032090589927975
31	container_create_time	0.026384288008557633
31	container_start_time	1.0338947999989614
31	gdb_start_time	0.008076553989667445
31	init_breakpoints_time	0.000755382003262639
31	start_program_time	0.0005549210036406294
31	total_time	1.2892976229923079
32	compilation_time	0.011762798007111996
32	connect_time	0.20320048299618065
32	container_create_time	0.02722734399139881
32	container_start_time	0.9440639639942674
32	gdb_start_time	0.00732994700956624
32	init_breakpoints_time	0.0007943829987198114
32	start_program_time	0.0006062940083211288
32	total_time	1.199206965000485
33	compilation_time	0.011758444001316093
33	connect_time	0.20322312600910664
33	container_create_time	0.026136400003451854
33	container_start_time	0.932255883992184
33	gdb_start_time	0.007425364005030133
33	init_breakpoints_time	0.0007260179991135374
33	start_program_time	0.000537219995749183
33	total_time	1.1856527329946402
34	compilation_time	0.012338312997599132
34	connect_time	0.20324925301247276
34	container_create_time	0.026319059004890732
34	container_start_time	0.9378019559953827
34	gdb_start_time	0.007876096002291888
34	init_breakpoints_time	0.0007386499928543344
34	start_program_time	0.0006290129967965186
34	total_time	1.1927663829992525
35	compilation_time	0.011796737991971895
35	connect_time	0.20346979099849705
35	container_create_time	0.025959392005461268
